0.96523,0.77602,0.98377,0.79931
0.96327,0.72116,0.99089,0.80084
0.95392,0.6893,0.98322,0.7489
0.96142,0.66976,0.99097,0.76158
0.9612,0.6676,0.99154,0.76323
0.95802,0.67863,0.98814,0.75884
0.95903,0.6712,0.98798,0.74965
0.95335,0.73373,0.97402,0.7302
0.96239,0.72529,0.9833,0.75762
0.96478,0.70043,0.98848,0.76599
0.95934,0.70185,0.98465,0.75553
0.95842,0.74588,0.9785,0.75595
0.95767,0.67206,0.98862,0.75636
0.96526,0.76257,0.98309,0.7802
0.95908,0.80173,0.97121,0.73716
0.96517,0.71585,0.98991,0.78774
0.95954,0.72821,0.98087,0.75238
0.96443,0.74331,0.98345,0.76804
0.97378,0.83515,0.98631,0.84085
0.96523,0.8021,0.97818,0.77237
0.96153,0.72709,0.98436,0.76714
